Title of the Seminar,Presenter,Time,Date,Location,Abstract
Unlocking the Power of Recommender Systems: A Hands-On Journey with Python (1st Offering),Bahareh Rahmatikargar,9:30 AM,"Monday, October 7th, 2024","4th Floor Workshop Space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub",This hands-on workshop explores the practical aspects of building recommender systems using the Python programming language...
Unlocking the Power of Recommender Systems: A Hands-On Journey with Python (2nd Offering),Bahareh Rahmatikargar,12:00 PM,"Monday, October 7th, 2024","4th Floor Workshop Space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub",This hands-on workshop explores the practical aspects of building recommender systems using the Python programming language...
Foundations of Q-Learning (1st Offering),Xiaofeng (Michael) Liu,10:30 AM,"Monday, October 7th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub",Reinforcement learning (RL) trains machine learning models to make a sequence of decisions. Q-learning is a type of RL with a model-free environment that achieves learning by interacting with the environment...
K-Means Clustering for Data Analysis (1st Offering),Nahid Abdolrahmanpour,12:00 PM,"Tuesday, October 8th, 2024","Lecture Space 4th Floor - 300 Ouellette Ave., School of Computer Science Advanced Computing Hub",Unlock the potential of unsupervised learning with a workshop on K-means clustering. This workshop will dive into clustering algorithms and demonstrate how K-means reveals hidden patterns in data...
Inductive Learning for Resume Screening: Integrating GNNs and LLMs for Personalized Job Matching,Amin Baghbanzadeh,1:00 PM,"Tuesday, October 8th, 2024","Lambton Tower, Room 3105",The research explores the use of Graph Neural Networks (GNNs) and Large Language Models (LLMs) to automate resume matching to job postings. It uses a large-scale dataset of 2 million real resumes to handle extensive data and improve transparency and fairness in the recruitment process.
Advanced Topics in Data Clustering (1st Offering),Ali Abbasi Tadi,1:30 PM,"Tuesday, October 8th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","This workshop explores advanced topics in data clustering for high dimensions. It covers dimensionality reduction methods like t-SNE, PCA, and Isomap, along with their implementations. The workshop will also examine the consensus matrix and how to adjust clustering parameters."
Explaining Machine Learning Models with LIME in Python (1st Offering),Nasrin Tavakoli,2:30 PM,"Tuesday, October 8th, 2024","4th Floor Lecture Space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","This workshop offers a practical introduction to Explainable AI (XAI), focusing on the use of LIME (Local Interpretable Model-agnostic Explanations). It covers the essentials of model interpretability, using Python to load the Iris dataset and apply LIME for model explanations."
Advanced Topics in Data Clustering (2nd Offering),Ali Abbasi Tadi,12:30 PM,"Thursday, October 10th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","This workshop explores advanced topics in data clustering for high dimensions. It covers dimensionality reduction methods like t-SNE, PCA, and Isomap, along with their implementations. The workshop will also examine the consensus matrix and how to adjust clustering parameters."
Basic Topics on Cloud Computing for IoT (1st Offering),Atefeh Gilvari,1:30 PM,"Thursday, October 10th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","This workshop explores the integration of Cloud Computing with the Internet of Things (IoT), detailing how data from IoT devices is managed, analyzed, and utilized for decision-making through platforms like AWS. It highlights the architecture of AWS for IoT, including device connectivity, security, and the practical applications of cloud technologies in enhancing efficiency and reliability in IoT ecosystems."
Basic Topics on Cloud Computing for IoT (2nd Offering),Atefeh Gilvari,3:00 PM,"Thursday, October 10th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub","This workshop explores the integration of Cloud Computing with the Internet of Things (IoT), detailing how data from IoT devices is managed, analyzed, and utilized for decision-making through platforms like AWS. It highlights the architecture of AWS for IoT, including device connectivity, security, and the practical applications of cloud technologies in enhancing efficiency and reliability in IoT ecosystems."
The Graph Burning and The Firefighter Problems,Jilsa Chandarana,9:00 AM,"Friday, October 11th, 2024","Essex Hall, Room 122","With the increasing usage of social media, the spread of information has become abundant. However, this surge in accessible news and updates has also heightened the risk of spreading rumors. In our research, we explore two problems related to this phenomenon: the graph burning problem and the firefighter problem. We provide a comprehensive survey of the graph burning problem, a discrete-time process. Initially, all the vertices of the graph are unburned, and we start the fire at a single vertex. The fire then spreads to the adjacent vertices of the burned vertices, and at each step, we select a new vertex to burn. Our objective is to burn all the vertices in a minimum number of steps. The graph burning problem is NP-Complete. We review various approximation algorithms and bounds, highlighting significant advancements over the past decade. In the firefighter problem, a graph is given, and a fire starts from a subset of vertices. At each step, firefighters protect a certain number of vertices as the fire continues to spread to adjacent vertices."
Foundations of Q-Learning (2nd Offering),Xiaofeng (Michael) Liu,10:00 AM,"Friday, October 11th, 2024","4th Floor Workshop space - 300 Ouellette Avenue, School of Computer Science Advanced Computing Hub",Reinforcement learning (RL) is training machine learning models to make a sequence of decisions. Q-learning is a type of RL with a model-free environment which achieves learning by interaction with the environment instead of transition probabilities. This workshop will introduce the principle of Q-learning.
Exploring Explainable AI: Methods Challenges and Practical Applications (1st Offering),Nasrin Tavakoli,1:45 PM,Tuesday September 24 2024,4th Floor Workshop Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,This workshop provides a comprehensive overview of Explainable AI its methods challenges and practical applications.
Advanced SQL Server Techniques (2nd Offering),Atefeh Gilvari,2:30 PM,Tuesday September 24 2024,4th Floor Lecture Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,This hands-on workshop explores advanced SQL Server techniques in real-world analytics scenarios.
Introduction to Secure Programming using Intel SGX (1st Offering),Ali Abbasi Tadi Ph.D. Candidate,3:30 PM,Tuesday September 24 2024,4th Floor Lecture Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,This hands-on workshop explores secure programming with Intel SGX focusing on privacy in machine learning.
Exploring Explainable AI: Methods Challenges and Practical Applications (2nd Offering),Nasrin Tavakoli,10:30 AM,Wednesday September 25 2024,4th Floor Workshop Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,This workshop provides a comprehensive overview of Explainable AI its methods challenges and practical applications.
Introduction to Information Retrieval (IR) (1st Offering),Zahra Taherikhonakdar,2:00 PM,Wednesday September 25 2024,4th Floor Workshop Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,Information Retrieval (IR) is the process of finding material (usually documents) that satisfies an information need.
Introduction to Information Retrieval (IR) (2nd Offering),Zahra Taherikhonakdar,12:00 PM,Thursday September 26 2024,4th Floor Workshop Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,Information Retrieval (IR) is the process of finding material (usually documents) that satisfies an information need.
An End-to-End Approach to Team Recommendation via Heterogeneous Graph Neural Networks,Md Jamil Ahmed,1:00 PM,Thursday September 26 2024,Dillon Hall Room 352,This research presents a novel end-to-end graph neural network-based approach to team recommendation.
Introduction to Secure Programming using Intel SGX (2nd Offering),Ali Abbasi Tadi Ph.D. Candidate,2:45 PM,Thursday September 26 2024,4th Floor Lecture Space 300 Ouellette Avenue School of Computer Science Advanced Computing Hub,This hands-on workshop covers secure programming with Intel SGX focusing on addressing privacy concerns.
Supporting Management of Issue Reports,Rumman Ali,10:00 AM,Friday 27 September 2024,Essex Hall Room 122,This research focuses on understanding how user-submitted reports (issues) are managed in software development.
Link Prediction in Networks (2nd Offering),Nahid Abdolrahmanpour,12:00 PM,Friday September 27 2024,Workshop Space 4th Floor - 300 Ouellette Ave. School of Computer Science Advanced Computing Hub,This workshop focuses on link prediction a crucial task in network analysis with applications in social networks.
Unity in Diversity: Discovering the Cultural Wonders of India,Shivangi Singh,11:00 AM,Thursday August 1st 2024,4th Floor at 300 Ouellette Avenue(School of Computer Science Advanced Computing Hub),Embark on a captivating exploration of India's rich cultural tapestry...
Celebrating Nigeria: A Journey Through Its Ethnic Diversity Traditions and Religions,David Abejide and Micheal Fajuko,3:00 PM,Thursday August 1st 2024,Same as above,This presentation delves into Nigeria's rich cultural heritage...
Django in Action: Build a Portfolio Website!,Saran Kumar Saravanan,10:00 AM,Friday August 2nd 2024,Same as above,This workshop introduces participants to Django...
Power BI: 101,Shivangi Singh,12:00 PM,Friday August 2nd 2024,Same as above,Join us for Power BI 101...
Link Prediction in Networks (1st Offering),Nahid Abdolrahmanpour,1:00 PM,Friday August 2nd 2024,Same as above,Link prediction is crucial in network analysis...
Securing Electric Vehicle Charging Sessions using Blockchain (MSc Thesis Proposal),Rajveer Kaur,1:30 PM,Friday August 2nd 2024,Essex Hall Room 122,The rapid proliferation of Electric Vehicles (EVs)...
Journey to Egypt: Unveiling the Secrets of the Mother of the World,Salma Roshdy Aly,2:00 PM,Friday August 2nd 2024,4th Floor at 300 Ouellette Avenue(School of Computer Science Advanced Computing Hub),This workshop will take you on a journey to Egypt...
Link Prediction in Networks (2nd Offering),Nahid Abdolrahmanpour,3:00 PM,Friday August 2nd 2024,Same as above,Link prediction is crucial in network analysis...
Machine Learning for IoT Devices Using Python (1st Offering),Atefeh Gilvari,9:00 AM,Tuesday August 6th 2024,Same as above,In this workshop we will explore the critical role of machine learning...
Graph Neural Networks (GNNs) using PyTorch-Geometric (PyG) – 1st Offering,Soroush Ziaeinejad,12:00 PM,Tuesday August 6th 2024,4th Floor (Workshop space) at 300 Ouellette Avenue(School of Computer Science Advanced Computing Hub),This workshop introduces a significant framework in deep learning...
Graph Neural Networks (GNNs) using PyTorch-Geometric (PyG) – 2nd Offering,Soroush Ziaeinejad,2:00 PM,Tuesday August 6th 2024,Same as above,This workshop introduces a significant framework in deep learning...
Introduction to Transformers (2nd Offering),Zahra Taherikhonakdar,11:00 AM,Wednesday August 7th 2024,Same as above,Transformers and attention mechanisms have revolutionized...
FedMod: Vertical Federated Learning Using Multi-Server Secret Sharing,Kasra Mojallal,10:00 AM - 11:30 AM,Tuesday August 13th 2024,Memorial Hall Room 109,Vertical federated learning enables parties owning different features...
Advanced Topics in Quantum Computing,Dr. Alice Smith,10:00 AM,Wednesday August 22nd 2024,Same as above,Quantum Computing stands at the forefront of technological innovation...
Deep Learning in Healthcare: Innovations and Challenges,Dr. Bob Johnson,2:00 PM,Wednesday August 22nd 2024,Same as above,Deep Learning has emerged as a transformative force in healthcare...
Detecting and Understanding Position Falsification Attacks Using Explainable Artificial Intelligence,Mahesh Abburi,10:00 AM,Thursday August 29th 2024,Essex Hall Room 122,Integrating Vehicular Ad-Hoc Networks (VANETs)...
Assessing Adversarial Attack Feasibility and HybridMTD Defense Strategies in Machine Learning,Kimia Tahayori,12:00 PM,Thursday August 29th 2024,Memorial Hall Room 109,This research addresses the challenge of safeguarding machine learning models...
Interactive Semantic Object Parsing through Super-Pixel Segmentation,Chris Khalil,12:00 PM,Tuesday August 27th 2024,Essex Hall Room 122,Actual gains of machine learning in AI sub-fields...
Riemannian Manifold-based Data Augmentation for Accented Speech,Kriti Kapoor,10:00 AM,Tuesday August 27th 2024,Memorial Hall Room 109,Speech signals vary in aspects like speaker identity...
Integrating Explainable AI Techniques with Generative Adversarial Networks for Enhanced De Novo Drug Generation,Harshitha Kosuru,1:00 PM,Wednesday 14 August 2024,Essex Hall Room 122,Generative AI models such as Generative Adversarial Networks (GANs)...
Roadside Unit (RSU) Misbehaviour Detection in VANET Using Trust Model,Lavanya Nagaraju,12:00 PM,Tuesday August 13th 2024,Essex Hall Room 122,Numerous concerns exist across the various components...
Can Large Language Models Understand Molecules?,Shaghayegh Sadeghi,10:30 AM,Wednesday August 7th 2024,Odette Building Room B03,Large Language Models (LLMs) like OpenAI's GPT...
Impact of Loss Functions in Fine-Tuning LLMs for Improving Sentence Embeddings,Bishwadeep Sikder,12:00 PM,Thursday August 8th 2024,Odette Building Room 110,In the pursuit of advancing natural language processing...
Enhancing E-commerce Dataset Recommendation using BERT and Named Entity Recognition (EDMRec) - MSc Thesis Proposal,Ayomide Elijah Oduba,10:00 AM - 11:30 AM,Thursday August 8th 2024,Essex Hall Room 122,Increase in e-commerce activities and research...
No Query Left Behind: Query Refinement via Backtranslation,Delaram Rajaei,1:00 PM - 2:30 PM,Wednesday August 7th 2024,Essex Hall Room 122,Query refinement is to enhance the relevance of search results...
Explaining Machine Learning Models with LIME in Python (2nd Offering),Nasrin Tavakoli,12:00 PM,Wednesday August 7th 2024,4th Floor at 300 Ouellette Avenue(School of Computer Science Advanced Computing Hub),This workshop offers a practical introduction to Explainable AI...
Explaining Machine Learning Models with LIME in Python (1st Offering),Nasrin Tavakoli,10:00 AM,Tuesday August 6th 2024,Same as above,This workshop offers a practical introduction to Explainable AI...
Introduction to Transformers (1st Offering),Zahra Taherikhonakdar,3:00 PM,Wednesday August 7th 2024,4th Floor at 300 Ouellette Avenue(School of Computer Science Advanced Computing Hub),Transformers and attention mechanisms have revolutionized...
Machine Learning Based Detection of False Alert Messages in VANET (MSc Thesis Defense),Avinash Karhana,10:00 AM,Wednesday August 7th 2024,Essex Hall Room 122,The expansion of Intelligent Transportation Systems...
Inductive Learning for Resume Screening,Amin Baghbanzadeh,1:00 PM,"Tuesday, October 8, 2024","Lambton Tower, Room 3105",The research explores the use of Graph Neural Networks (GNNs) and Large Language Models (LLMs) in automating the matching of resumes to job postings. It addresses the limitations of traditional screening methods by employing a graph-based approach that captures complex relationships between various resume and job components.
Graph Neural Networks for Link Prediction,Nahid Abdolrahmanpour,12:00 PM,"Friday, October 4, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave.",Graph Neural Networks (GNNs) have emerged as powerful tools for analyzing and predicting connections in complex systems represented as graphs. This workshop will provide a comprehensive introduction to GNNs and focus on their application in link prediction.
Introduction to Data Clustering (1st Offering),Ali Abbasi Tadi,1:30 PM,"Tuesday, October 1, 2024","Workshop Space, 4th Floor - 300 Ouellette Ave.","Clustering is a way of grouping data points into different clusters consisting of similar data points. In this workshop, we explore various clustering approaches and implementations using Python."
Exploration of Low-Level Features for Enhancing Movie Recommendation Systems,Jasmin Patel,1:00 PM,"Friday, October 4, 2024","Essex Hall, Room 122","A hybrid recommendation framework that employs detection models, such as YOLOv8, to identify and low-level catalog objects within movies, creating an item-item similarity matrix of movies."
Graph Burning and The Firefighter Problems,Jilsa Chandarana,9:00 AM,"Friday, October 11, 2024","Essex Hall, Room 122","The graph burning problem is a discrete-time process where fire spreads through a graph’s vertices. The objective is to burn all vertices with a minimum number of steps. This study also covers the Firefighter Problem, which is about saving vertices from fire in a graph structure."
"Federated Learning: Taxonomy, Challenges, Future Directions",Soroush Ziaeinejad,10:00 AM,"Friday, October 18, 2024","Essex Hall, Room 122","This presentation provides a detailed overview of Federated Learning, covering its fundamental concepts, taxonomy, and key challenges such as privacy, communication overhead, and data heterogeneity. It also explores state-of-the-art methods and future directions, including the potential integration of Graph Neural Networks into decentralized federated learning."
A Python example of Q-Learning (1st Offering),Xiaofeng Liu (Michael),9:30 AM,"Friday, October 25, 2024",4th Floor Lecture space - 300 Ouellette Avenue,Reinforcement learning (RL) is the training of machine learning models to make a sequence of decisions. This workshop will give a Python example of how to create the environment of RL and use Q-learning to solve a shortest path problem instead of Dijkstra algorithm.
A Python example of Q-Learning (2nd Offering),Xiaofeng Liu (Michael),11:30 AM,"Friday, October 25, 2024",4th Floor Lecture space - 300 Ouellette Avenue,Reinforcement learning (RL) is the training of machine learning models to make a sequence of decisions. This workshop will give a Python example of how to create the environment of RL and use Q-learning to solve a shortest path problem instead of Dijkstra algorithm.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
